app_id,name,total_reviews,review_score,is_free,price,release_date,all_time_peak,avg_count,day_peak,ownership,owner_range,owners_lower,owners_upper,owner_bucket,activity_bucket,review_bucket,positive_reviews,negative_reviews,players_forever,players_2weeks,steamspy_ccu
1068820,OVR Toolkit - Desktop Overlay,2581,8,False,1099,"Jun 28, 2019",5073,1999.5591647331787,2584,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,500_5k,1k_10k,2722,372,,,2180
41070,Serious Sam 3: BFE,5846,8,False,2999,"Nov 22, 2011",2085,154.26349206349207,104,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,10k_100k,24491,3224,,,105
407560,Killing Room,610,5,False,1499,"Oct 20, 2016",263,9.564912280701755,6,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,1k_10k,990,433,,,1
1036700,My Beautiful Paper Smile,183,8,False,1499,"Oct 14, 2021",13,2.3304347826086955,0,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,zero,100_1k,340,58,,,0
291480,Warface: Clutch,401,5,False,,"Jul 1, 2014",13867,606.7100977198697,38,35000000,"20,000,000 .. 50,000,000",20000000,50000000,gte_10m,50_500,10k_100k,54554,27643,,,270
2344520,Diablo IV,19542,6,False,4999,"Oct 17, 2023",63808,31183.425400739827,24267,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,gte_5k,10k_100k,32969,17333,,,8835
1651560,Fabledom,3328,8,False,2099,"May 13, 2024",4228,169.84539877300614,136,350000,"200,000 .. 500,000",200000,500000,100k_500k,500_5k,1k_10k,5342,862,,,598
365450,Hacknet,7555,8,False,999,"Aug 12, 2015",127640,258.2420242024202,49,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,lt_50,10k_100k,23511,1604,,,31
1097430,Book of Yog Idle RPG,3,0,True,,"Jul 29, 2022",4163,546.0581818181818,1119,350000,"200,000 .. 500,000",200000,500000,100k_500k,500_5k,1k_10k,4733,2650,,,647
65080,Kaptain Brawe: A Brawe New World,62,6,False,1499,"Jan 20, 2011",25,2.0,1,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,100_1k,130,36,,,0
638070,Murderous Pursuits,160,5,False,999,"Apr 26, 2018",144294,885.8529411764706,4,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,lt_50,1k_10k,1794,1022,,,3
420970,RoBoRumble,11,7,False,799,"Dec 10, 2015",12734,377.34090909090907,2,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,100_1k,140,85,,,83
2713550,Cursed Dawn,4,0,False,,"Apr 7, 2025",2,0.10256410256410256,0,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,zero,lt_100,2,7,,,0
220240,Far Cry 3,42137,8,False,1999,"Dec 4, 2012",23042,1209.2008501594048,835,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,gte_100k,101914,12105,,,488
3990,Civilization IV: Warlords,288,8,False,499,"Apr 6, 2007",335,167.26984126984127,220,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,50_500,100_1k,442,44,,,144
752060,Subwar 2050,4,0,False,999,"Nov 29, 2017",1,0.11475409836065574,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,lt_100,2,1,,,0
886250,PokerStars VR,0,0,True,,"Nov 10, 2023",1327,140.97008055235904,209,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,1k_10k,5700,1442,,,171
8850,BioShock 2,5879,8,False,299,"Feb 9, 2010",912,59.75404530744336,38,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,lt_50,10k_100k,12864,1555,,,23
448630,Rabiez: Epidemic,50,4,False,199,"Mar 4, 2016",13277,383.672131147541,1,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,zero,100_1k,96,131,,,0
2173740,DYNAMIC,1,0,False,199,"Nov 21, 2022",1,0.09375,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,lt_100,3,0,,,0
586960,Upside Down,162,6,False,149,"Feb 14, 2017",3251,61.266666666666666,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,100_1k,572,123,,,0
1701520,Afterimage,1360,8,False,499,"Apr 24, 2023",2056,95.75857843137256,179,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,1k_10k,6526,1878,,,93
557780,Atom Fishing II,6,0,False,,"Nov 29, 2016",937,180.47916666666666,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,1k_10k,1200,387,,,0
6060,"STAR WARS Battlefront II (Classic, 2005)",34758,8,False,999,"Jul 8, 2009",4703,358.6553911205074,296,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,50_500,10k_100k,50396,2891,,,323
1677280,Company of Heroes 3,12894,5,False,2399,"Feb 23, 2023",30243,3906.7310513447433,6566,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,500_5k,10k_100k,18936,14310,,,2183
1619450,Heart of a Warrior,0,0,False,1099,"Feb 1, 2022",0,0.0,0,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,zero,lt_100,0,1,,,0
528740,Operation: New Earth,16,4,True,,"Dec 14, 2016",456,234.99104143337067,288,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,100_1k,468,306,,,235
1687950,Persona 5 Royal,33233,9,False,5999,"Oct 20, 2022",35298,9393.425790754258,11096,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,500_5k,gte_100k,99657,3487,,,4994
1182110,Weed Shop 3,3502,8,False,1999,"Apr 20, 2022",2548,63.37023809523809,50,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,1k_10k,3797,234,,,46
1151640,Horizon Zero Dawn Complete Edition,51576,8,False,,"Aug 7, 2020",49582,1094.9528301886792,741,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,500_5k,gte_100k,110049,15148,,,700
377160,Fallout 4,181538,8,False,1999,"Nov 9, 2015",471955,15268.870718232045,11742,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,gte_5k,gte_100k,326054,66233,,,11179
327410,A Bird Story,2878,8,False,399,"Nov 7, 2014",1313,18.845890410958905,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,10k_100k,8718,1558,,,5
1061910,Metal: Hellsinger,7729,9,False,2999,"Sep 15, 2022",2682,40.76289926289926,35,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,lt_50,10k_100k,15140,626,,,45
1504570,Cultivation Tales,214,5,False,1999,"Apr 17, 2024",34664,145.71117166212534,9,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,10k_100k,5126,8513,,,7
200390,Oil Rush,76,5,True,,"Jan 25, 2012",280,7.5078740157480315,5,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,100_1k,293,217,,,0
648800,Raft,128397,8,False,1999,"Jun 20, 2022",100474,8251.069160997733,12422,15000000,"10,000,000 .. 20,000,000",10000000,20000000,gte_10m,500_5k,gte_100k,323198,23161,,,4701
6900,Hitman: Codename 47,1956,5,False,799,"Mar 15, 2007",232,27.197183098591548,23,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,1k_10k,3044,1195,,,20
1203620,Enshrouded,47150,8,False,2999,"Jan 24, 2024",160361,13629.044609665427,13087,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,gte_5k,10k_100k,67486,10594,,,10654
1252330,DEATHLOOP,12111,6,False,5999,"Sep 13, 2021",20050,144.50299401197606,112,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,50_500,10k_100k,22306,6899,,,73
291410,Duelyst,100,8,False,,"Aug 23, 2016",2344,122.80645161290323,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,zero,1k_10k,3899,834,,,0
719640,War Planet Online: Global Conquest,0,0,True,,"Dec 19, 2017",644,207.2122587968218,191,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,100_1k,579,332,,,155
1809420,Shankaram: CODE REBORN,4,0,False,899,"Dec 20, 2021",2,0.08108108108108109,0,350000,"200,000 .. 500,000",200000,500000,100k_500k,zero,lt_100,5,5,,,0
1142710,Total War: WARHAMMER III,60870,6,False,5999,"Feb 16, 2022",166519,23922.713253012047,36473,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,gte_5k,gte_100k,87141,32717,,,16842
487120,Citadel: Forged with Fire,3048,5,False,1499,"Nov 1, 2019",7720,71.32,8,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,1k_10k,3981,1885,,,10
1042550,Digimon Story Cyber Sleuth: Complete Edition,4682,8,False,4999,"Oct 17, 2019",3408,370.69150174621655,346,350000,"200,000 .. 500,000",200000,500000,100k_500k,500_5k,10k_100k,9933,1026,,,968
2527500,MiSide,25202,9,False,1499,"Dec 10, 2024",23637,429.5967336683417,473,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,500_5k,gte_100k,108883,2204,,,631
1948280,Stacklands,11652,9,False,799,"Apr 8, 2022",5135,591.7330917874397,1020,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,50_500,lt_100,0,0,,,347
3240220,Grand Theft Auto V Enhanced,61612,8,False,1499,"Mar 4, 2025",157412,46917.766708701136,72776,7500000,"5,000,000 .. 10,000,000",5000000,10000000,2m_10m,gte_5k,10k_100k,38595,17286,,,39502
496640,Strange Night,96,5,False,49,"Jul 26, 2016",2283,92.9,6,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,100_1k,276,171,,,1
453480,Shadowverse CCG,178,6,True,,"Oct 27, 2016",23929,1380.6364653243847,203,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,500_5k,10k_100k,10839,3875,,,1122
475550,Beholder,3038,8,False,1399,"Nov 9, 2016",7799,158.91870824053453,121,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,50_500,10k_100k,25444,2303,,,138
2248760,Car For Sale Simulator 2023,4632,6,False,1699,"Nov 1, 2024",2746,219.2948402948403,251,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,10k_100k,14778,3674,,,220
1504980,It Takes Two Friend's Pass,0,0,False,,"Mar 26, 2021",16741,414.85149700598805,74,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,50_500,100_1k,703,92,,,58
269210,Hero Siege,12714,5,False,263,"Jan 29, 2014",16472,1909.8230852211434,1387,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,50_500,10k_100k,29813,13699,,,369
1343400,RuneScape ,74,8,True,,"Oct 14, 2020",12508,2373.6182033096925,2162,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,500_5k,10k_100k,20941,4397,,,2496
3036080,Shawarma Legend,649,8,False,299,"Jul 19, 2024",7645,127.10861423220973,166,350000,"200,000 .. 500,000",200000,500000,100k_500k,50_500,lt_100,0,0,,,109
1436930,Temple of Apshai Trilogy,15,5,False,399,"Oct 19, 2020",2,0.1568627450980392,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,zero,lt_100,8,6,,,0
576120,Purgatory II,18,4,False,199,"Feb 28, 2018",26934,413.1397058823529,0,750000,"500,000 .. 1,000,000",500000,1000000,500k_2m,lt_50,lt_100,19,27,,,1
1253920,Rogue Legacy 2,7628,8,False,999,"Apr 28, 2022",22811,374.86454652532393,624,1500000,"1,000,000 .. 2,000,000",1000000,2000000,500k_2m,50_500,10k_100k,13143,1326,,,167
893520,Creative Destruction,224,5,False,,"Aug 2, 2018",6283,391.75324675324674,1,3500000,"2,000,000 .. 5,000,000",2000000,5000000,2m_10m,zero,10k_100k,14571,3940,,,0
702670,Donut County,6587,8,False,389,"Aug 28, 2018",619,33.170028818443804,39,350000,"200,000 .. 500,000",200000,500000,100k_500k,lt_50,10k_100k,9683,862,,,40
